SOURCE|DATE_OF_ACTION|OPER_TYPE|ACTION|CURRENCY|SR_CITY|SR_CODE|SR_COUNTRY|SR_NAME|SR_TYPE|FCMI|RCAT|TKT_COUNT|REP_DATE|SSR_FARE|SSR_SEAT_AMOUNT|SSR_NTBL_AMOUNT|SSR_XBAG_AMOUNT|SSR_WBAG_AMOUNT|SSR_CATERING_AMOUNT|FARE|PAX_FARE|DISCOUNT|TRANSACTION_FEE|TAX|SURCHARGE|CE_AMOUNT|TF_AMOUNT|SERVICE_FEE|PENALTY|SMS_FARE|OPTION_FARE|CASH_PAYMENT|CC_PAYMENT|EX_PAYMENT|DP_PAYMENT|GC_PAYMENT|MCO_PAYMENT|INV_PAYMENT|GRO_PAYMENT|EDD_PAYMENT|IDL_PAYMENT|FF_PAYMENT|BOH_PAYMENT|ISW_PAYMENT|SFT_PAYMENT|CQ_PAYMENT|MS_PAYMENT|GGP_PAYMENT|EP_PAYMENT|TP_PAYMENT|COMMISSION|MU_AMOUNT|VAT_AMOUNT|OTHER_PAYMENT|GAIN_LOSS_AMOUNT|LOC_SSR_SEAT_AMOUNT|LOC_SSR_NTBL_AMOUNT|LOC_SSR_XBAG_AMOUNT|LOC_SSR_WBAG_AMOUNT|LOC_SSR_CATERING_AMOUNT|LOC_FARE|LOC_PAX_FARE|LOC_DISCOUNT|LOC_TRANSACTION_FEE|LOC_TAX|LOC_SURCHARGE|LOC_CE_AMOUNT|LOC_TF_AMOUNT|LOC_SERVICE_FEE|LOC_PENALTY|LOC_SMS_FARE|LOC_OPTION_FARE|LOC_COMMISSION|LOC_MU_AMOUNT|LOC_CASH_PAYMENT|LOC_CC_PAYMENT|LOC_EX_PAYMENT|LOC_DP_PAYMENT|LOC_GC_PAYMENT|LOC_MCO_PAYMENT|LOC_INV_PAYMENT|LOC_GRO_PAYMENT|LOC_EDD_PAYMENT|LOC_IDL_PAYMENT|LOC_FF_PAYMENT|LOC_BOH_PAYMENT|LOC_ISW_PAYMENT|LOC_SFT_PAYMENT|LOC_CQ_PAYMENT|LOC_MS_PAYMENT|LOC_GGP_PAYMENT|LOC_EP_PAYMENT|LOC_TP_PAYMENT|LOC_OTHER_PAYMENT|LOC_GAIN_LOSS_AMOUNT
PAX|30-06-2024|DOM|Sales|NGN|LOS|IPFM CONTINENTAL |NG|IPFM CONTINENTAL AND SYNERGY LIMITED|AG|A|ACT|1|30-06-2024|0|0|0|0|0|0|-121667|-121667|0|0|-16583|-60000|0|0|0|0|0|0|0|0|0|0|0|0|198250|0|0|0|0|0|0|0|0|0|0|0|0|7300|0|0|0|0|0|0|0|0|0|-121667|-121667|0|0|-16583|-60000|0|0|0|0|0|0|7300|0|0|0|0|0|0|0|198250|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|IN|B2C|IN|B2C|IN|A|ACT|4|30-06-2024|0|0|0|0|0|0|-147619|-147619|0|-1050|-38381|-240000|0|0|0|0|0|0|0|427050|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-147619|-147619|0|-1050|-38381|-240000|0|0|0|0|0|0|0|0|0|427050|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Exchange|NGN|BNI|BNITKT|NG|BENIN TICKETING|OF|A|ACT|2|30-06-2024|0|0|0|0|0|0|24881|24881|0|350|4494|25000|0|0|0|0|0|0|0|0|-54725|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24881|24881|0|350|4494|25000|0|0|0|0|0|0|0|0|0|0|-54725|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Exchange|NGN|LOS|AEROCC|NG|CALL CENTER|OF|A|ACT|6|30-06-2024|0|0|0|0|0|0|134143|134143|0|700|36607|358000|0|0|0|0|0|0|0|0|-529450|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-5785|0|0|0|0|0|0|0|0|0|134143|134143|0|700|36607|358000|0|0|0|0|0|0|-5785|0|0|0|-529450|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|PHC|IGONI TRAVELS|NG|IGONI|AG|A|ACT|2|30-06-2024|0|0|0|0|0|0|-92857|-92857|0|0|-14643|-120000|0|0|0|0|0|0|0|0|0|0|0|0|227500|0|0|0|0|0|0|0|0|0|0|0|0|5571|0|0|0|0|0|0|0|0|0|-92857|-92857|0|0|-14643|-120000|0|0|0|0|0|0|5571|0|0|0|0|0|0|0|227500|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Exchange|NGN|LOS|LOSTKT|NG|LAGOS TICKETING|OF|A|ACT|19|30-06-2024|8000|0|0|8000|0|0|843357|835357|0|3150|223269|1320000|0|0|0|0|0|0|0|0|-2389776|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-5285|0|0|0|0|0|0|8000|0|0|843357|835357|0|3150|223269|1320000|0|0|0|0|0|0|-5285|0|0|0|-2389776|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|LOS|BUKTEXTRAVELS|NG|BUKTEXTRAVELS AND LOGISTICS|AG|A|ACT|2|30-06-2024|0|0|0|0|0|0|-41667|-41667|0|0|-7083|-60000|0|0|0|0|-160|0|0|0|0|0|0|0|108910|0|0|0|0|0|0|0|0|0|0|0|0|2500|0|0|0|0|0|0|0|0|0|-41667|-41667|0|0|-7083|-60000|0|0|0|0|-160|0|2500|0|0|0|0|0|0|0|108910|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Reissue|NGN|LOS|Rafi Consol|NG|Rafi Consolidated Services Limited|AG|A|ACT|1|30-06-2024|0|0|0|0|0|0|-46429|-46429|0|-350|-7321|-60000|0|0|0|-5000|0|0|0|0|102350|0|0|0|16750|0|0|0|0|0|0|0|0|0|0|0|0|2786|0|0|0|0|0|0|0|0|0|-46429|-46429|0|-350|-7321|-60000|0|0|0|-5000|0|0|2786|0|0|0|102350|0|0|0|16750|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Reissue|NGN|LOS|LOSTKT|NG|LAGOS TICKETING|OF|A|ACT|25|30-06-2024|-16800|0|0|-16800|0|0|-1065603|-1048803|0|-4200|-315957|-2160000|0|0|0|0|0|0|0|0|3375762|169998|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1500|0|0|0|0|0|0|-16800|0|0|-1065603|-1048803|0|-4200|-315957|-2160000|0|0|0|0|0|0|1500|0|0|0|3375762|169998|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Reissue|NGN|BNI|BNITKT|NG|BENIN TICKETING|OF|A|ACT|2|30-06-2024|0|0|0|0|0|0|-24881|-24881|0|-350|-4494|-25000|0|0|0|0|0|0|0|0|54725|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-24881|-24881|0|-350|-4494|-25000|0|0|0|0|0|0|0|0|0|0|54725|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
